Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
bnesos Stationary School Supplies 80Sheets Sticky Note Memo Pad Sticky Notes Sticky Memo,17.82,bnesos Stationary School Supplies 80Sheets Sticky Note Memo Pad Sticky Notes Sticky Memo,18.0,1.0000000000000002,-0.17999999999999972
Best WISDOM 7825 A5 NOTEBOOK school supplies,156.0,WISDOM 7825 A5 NOTEBOOK school supplies,45.0,0.9258200997725515,111.0
hot COD DVX 8 to 32-Color Non-Toxic Generic Crayons Arts - Crafts School Supplies Krayola Crayon,131.0,COD DVX 8 to 32-Color Non-Toxic Generic Crayons Arts & Crafts School Supplies Krayola Crayon,6.0,0.9682458365518538,125.0
Best WISDOM KN-40-2 white Glue school supplies,100.0,WISDOM KN-40-2 white Glue school supplies,10.0,0.9354143466934851,90.0
bnesos Stationary School Supplies Retro Vintage Calligraphy Marker Color Brush Pen 12Colors,31.68,bnesos Stationary School Supplies Brush Lettering Pens Markers Calligraphy Pen 4 Styles,15.0,0.6092717958449424,16.68
200 Sheets Translucent Sticky Notes Waterproof Planner PET Stickers Index Bookmark School Supplies Student Stationery Memo Pad,504.0,200 Sheets Pet Sticky Note Waterproof Index Label Sticker Memo Pad School Office Supplies,45.0,0.6482037235521644,459.0
bnesos Stationary School Supplies Muji Style Gel Pen Sign Pen 8Colors 0.5mm,13.86,bnesos Stationary School Supplies Muji Style Gel Pen Sign Pen 8Colors 0.5mm,14.0,1.0,-0.14000000000000057
∈ WISDOM 5IN1/4IN1 STICKY NOTE (100Page) school supplies,98.0,WISDOM 5IN1/4IN1 STICKY NOTE (100Page) school supplies,10.0,0.9999999999999999,88.0
【spot!】 Oumi MUJI 1pcs Style Gel Pen 0.5mm Black Red Pen [Oumi Recommended ],214.0,Oumi 1pcs Gel Pen 0.35mm 0.5mm School Office Student Writing Stationery Supplies[Oumi Recommended ],12.0,0.6063390625908325,202.0
"☊ lengodd 10 Roll-Set Journal Washi Tape Set Kawaii Masking Tapes DIY Decorative Diary Scrapbooking
",309.0,lengodd 10 Roll/Set Sweet Dream Washi Tape Masking Tape Journal Supplies Scrapbooking Paper Stationary,57.0,0.6470588235294118,252.0
school supplies g-8003 gel pen ipen apple pen,318.0,school supplies g-8003 gel pen ipen apple pen,30.0,1.0,288.0
Scientific Calculator Multifunctional Big Calculators Stationery Office Supplies,271.0,Scientific Calculator Multifunctional Big Calculators Stationery Office Supplies,129.0,0.9999999999999999,142.0
bnesos B&e School Office Supply B&e Ruler 30cm 3Styles,5.0,bnesos Stationary School Supplies B&e Ruler 30cm 3Styles,5.0,0.7142857142857141,0.0
HOKKA 2PCS Metal Bookends Heavy Duty Pair Office Supplies,270.0,HOKKA 2PCS Metal Bookends Heavy Duty Pair Office Supplies,105.0,1.0000000000000002,165.0
bnesos B&e School Office Supplies Brush Lettering Pens Markers Calligraphy Pen 4 Styles,14.85,bnesos Stationary School Supplies Brush Lettering Pens Markers Calligraphy Pen 4 Styles,15.0,0.9090909090909093,-0.15000000000000036
【Cash sa paghahatid】 Kool Toolz Poster Color 4ml 12 colors opp poster paints 12colors School supplies,223.0,WISDOM opp poster paints 12# School supplies,18.0,0.6236095644623236,205.0
DM-1200V Electronic Calculator Office Slide Switch Big Display 12 Digits Stationery Office Supplies,241.0,DM-1200V Electronic Calculator Office Slide Switch Big Display 12 Digits Stationery Office Supplies,109.0,1.0,132.0
bnesos Stationary School Supplies Sonic Tape Dispenser Large High Quality Tape Cutter 4Colors,116.82,bnesos Stationary School Supplies Sonic Tape Dispenser Large High Quality Tape Cutter 4Colors,118.0,0.9999999999999998,-1.1800000000000068
▼ Duct Tape 48mm X 10m 9M 8Colors Stationary School Supplies,181.0,Duct Tape 48mm X 10m 9M 8Colors Stationary School Supplies,45.0,1.0000000000000002,136.0
bnesos Stationary School Supplies Highlight Liner Pen White Art Pen 0.8mm,17.82,bnesos Stationary School Supplies B&e Twin Permanent Marker Pen Pentel Pen 12 Colors,12.0,0.592999453328881,5.82
OBOS 48 72 120 oil color pencil set professional painting sketch color pencil School Art supplies tagalog ng school year,1093.0,OBOS 48/72/120 oil color pencil set professional painting sketch color pencil School Art supplies,675.0,0.9209109202723806,418.0
spot hot sale Scissors Transparent Cutting Scissors Student Office Supplies,255.0,Winzige INS Scissors Transparent Cutting Scissors Student Office Supplies,80.0,0.7833494518006403,175.0
Someday 168pcs / 150pcs Drawing kids Art Colorful Drawing Pencils kit Oil Painting Sticks Tools Set Drawing pen School Supplies Coloring Art Set Coloring Set for kids Art Materials Set,147.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
bnesos B&e School Office Supplies B&e Sticker Paper A4 Size Matt High-Gloss 5sheets 10sheets,15.0,bnesos Stationary School Supplies B&e Sticker Paper A4 Size Matt High-Gloss 5sheets 10sheets,15.0,0.9230769230769229,0.0
Graphing Paper (Ream/ 500pcs) School Supplies (NEW XIE ENTERPRISES),150.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Test Good 0.5mm Gel Ink Pen School Supplies G-2501 12pcs /box,68.0,LSY G-2501 12 in 1 Gel Ink Pen School Supplies,65.0,0.6030226891555273,3.0
bnesos B&e School Office supplies Flexstick Smooth Ink Pen 0.5 0.7 10 color Ball Pen 72pcs,272.25,bnesos Stationary School Supplies M&G Office G Gel Pen 8Colors 0.5mm,12.0,0.5163977794943222,260.25
Deli E0402F Stapler Rotatable anvil for stapling and temporary pin,75.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
TSZONE 168/208 PCS Kids Super Mega ART Coloring Set Painting set Color Set Water Color Pen Crayon Drawing set For Children Gifts Tools Kit Boys Girls Students Christmas Birthday Holiday Festival Neon Book Ink Craft Washable Pencils Oil Sticks Pastel,199.99,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Olympic Manila Paper (Pack of 10 sheets),38.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Wholesale 100pcs BallPen set Gel Pen Black Blue Red Ink 0.5mm Rods Refill School Stationery 1 box,100.0,Fashion Metal Hand Feeling Ballpoint Pen 0.5mm Black Refill Stationery School Office Supply,8.0,0.4160251471689219,92.0
"bnesos B&e School Office Supply Hi Chalk 100Sticks White Chalk , Yellow Chalk, Chalk Colored
",53.46,bnesos Stationary School Supplies Hi Chalk 100Sticks White Chalk Yellow Chalk Chalk Colored,54.0,0.9200000000000004,-0.5399999999999991
"bnesos B&e School Office Supplies Tiger Packing Tape Packaging Tape 2 x20m 40m 50m 100m 200m
",12.87,"bnesos Stationary School Supplies Tiger Packing Tape Packaging Tape 2""x20m 40m 50m 100m 200m",18.0,0.9375,-5.130000000000001
"Mumu Mini Korean Bag School Cute Bags Plain Back Pack #6050
",115.0,Mumu Mini Korean Bag School Cute Bags Plain Back Pack #6050,42.0,1.0000000000000002,73.0
"✉✁✳ ECO Bottle Plastic tumbler Sport Bottle School water bottle Leak proof 570ML
",352.0,ECO Bottle Plastic tumbler Sport Bottle School water bottle Leak proof 570ML,149.0,1.0000000000000002,203.0
"Tiger Hot Melt Glue Gun – Small
",124.75,COD 10Pcs×Hot Melt Glue Sticks For Glue Gun Art,19.0,0.5892556509887897,105.75
"Spot hot sale Japan Minimalist style PP Binder A6/ A5 /B5 /A4 /A7
",115.0,Japan Minimalist style PP Binder A6/ A5 /B5 /A4 /A7,38.0,0.8770580193070292,77.0
"spot hot sale 2 Sided Magnetic Aluminum White Board with 2 magnet and 1 marker - small eraser
",266.0,2 Sided Magnetic Aluminum White Board with 2 magnet and 1 marker & small eraser,84.0,0.8864052604279181,182.0
"5M Clear Multifunction Nano Tape Strongly Sticky Double-Sided Adhesive Tape Traceless Strips 4.9
",29.0,5M Clear Multifunction Nano Tape Strongly Sticky Double-Sided Adhesive Tape Traceless Strips,55.0,0.9999999999999998,-26.0
"A5/B5 (20/26holes) Metal Clip Binder Planner Choose your own looseleaf separate purchase
",70.0,A5/B5 (20/26holes) Metal Clip Binder Planner Choose your own looseleaf separate purchase,64.0,0.9999999999999999,6.0
"247 Waterproof Jansport backpack Korean Style High School College Student plain color COTTON hawks
",457.0,247 Waterproof Jansport backpack Korean Style High School College Student plain color COTTON hawks,189.0,0.9999999999999999,268.0
"hot 6 Hole Puncher Handheld Metal Punchers for A4 A5 B5 Notebook Scrapbook
",512.0,6 Hole Puncher Handheld Metal Punchers for A4 A5 B5 Notebook Scrapbook,294.0,0.957427107756338,218.0
"bnesos Stationary School Supplies HBW Stamp Pad HBW Office Stamp Pad With Ink & W/o Ink
",21.78,bnesos Stationary School Supplies HBW Stamp Pad HBW Office Stamp Pad With Ink & W/o Ink,22.0,0.9999999999999998,-0.21999999999999886
COD 10Pcs×Hot Melt Glue Sticks For Glue Gun Art,25.0,COD 10Pcs×Hot Melt Glue Sticks For Glue Gun Art,19.0,1.0000000000000002,6.0
"Korean Face Mask Chain Strap Leather Mask necklace Mask Rope Mask holder anti-lost,Comfortable,Adjustable
",30.0,"Korean Mask Strap/Mask Rope/Mask holder (anti-lost,Comfortable,Adjustable)",8.0,0.9166984970282113,22.0
"3-4 Layer Desk File Organizer Document Paper Tray,Magazine Case
",350.0,"3-4 Layer Desk File Organizer Document Paper Tray,Magazine Case",250.0,1.0000000000000002,100.0
"spot hot sale 4pcs Japan designed iron ruler set
",172.0,4pcs Japan designed iron ruler set,38.0,0.816496580927726,134.0
"Abc shop |wooden alphabet stamp set
",172.0,Abc shop |wooden alphabet stamp set,90.0,1.0000000000000002,82.0
"﹍✥✹ Driver's License Jacket (Color Transparent) - Card Holder - License Cover
",186.0,Driver's License Jacket (Color Transparent) | Card Holder | License Cover,20.0,1.0,166.0
"Office organizer Office supplies, Four-layer file tray/file holder/a4 office desktop folder storage box/desktop tray file frame/data document storage shelf/multi-layer office supplies Daquan(high quality wire mesh black)
",252.45,NM Polka dots design A4 Size Expanding Envelope File Folder Organizer Office School Supplies,15.0,0.4073065399812784,237.45
"Cold Laminating Film ( Photo Top ) Best Quality
",37.0,Cold Laminating Film ( Photo Top ) Best Quality,39.0,0.9999999999999997,-2.0
"Hot A5 (20holes) /B5 (26holes) Candy Color Refillable Notebook Sleek Loose Leaf Planner Binder
",193.0,A5 (20holes) /B5 (26holes) Candy Color Refillable Notebook Sleek Loose Leaf Planner Binder,67.0,0.9636241116594316,126.0
"Wide transparent tape, big roll sealing tape, long express packing and binding tape 100M/200M/300M
",184.0,"Wide transparent tape, big roll sealing tape, long express packing and binding tape 100M/200M/300M",30.0,1.0,154.0
"Hot Binder Clip 1 Dozen (12 pcs)
",114.0,Binder Clip 1 Dozen (12 pcs),11.0,0.9128709291752769,103.0
"Pinlinoo 4 Pockets 9 Pockets 30 Pockets Gaming Trading Card Album Pages Sleeves Sheets for A4 binders folder Pokemon DIY Loose leaf cards sleeves Coin collection
",149.0,Pinlinoo 10 pages 4 Pockets 9 Pockets 30 Pockets Gaming Trading Card Album Pages Sleeves for A4 binders Coin collection,119.0,0.8320502943378438,30.0
"Polytape Masking tape 15 meters
",268.0,Polytape Masking tape 15 meters,7.0,0.9999999999999999,261.0
"KING tape High Quality Packaging Tape (THICK - ELASTIC OR Your Money Back) Cheapest in the Market
",139.0,KING tape High Quality Packaging Tape (THICK & ELASTIC OR Your Money Back) Cheapest in the Market,30.0,1.0000000000000002,109.0
"Kangaroo mom Cute Kid Schoolbag Plush Bag Baby Cartoon Backpack
",98.0,Cute Kid Schoolbag Plush Bag Baby Cartoon Backpack,62.0,0.8944271909999159,36.0
"【Ready Stock】۞❐▪ dehrzuyjvzfmtxfwm K12 Grade 1 2 3 4 5 6 Workbook Module English Math Science Colored Print PISO
",298.0,K12 | Grade 1 2 3 4 5 6 | Workbook Module | English Math Science | Colored Print @PISO,118.0,0.8770580193070292,180.0
"Nusign by Deli NS041 Desk Calculator 12Digits Dual Power 165x103x15mm
",526.0,Nusign by Deli NS041 Desk Calculator 12Digits Dual Power 165x103x15mm,299.0,0.9999999999999999,227.0
"247 Waterproof Jansport backpack Korean Style High School College Student plain color backpack hawkS
",457.0,247 Waterproof Jansport backpack Korean Style High School College Student plain color backpack hawkS,189.0,1.0,268.0
"【[Suport Cash On Delivery]】 NM 8 Pocket A4 Expanding File Folder Expanding Envelope School Office Supplies
",346.0,NM 8 Pocket A4 Expanding File Folder Expanding Envelope School Office Supplies,96.0,0.8744746321952064,250.0
"COD！Metal Single Hand Held Hole Punch Scrapbooking Punches
",207.0,COD！Metal Single Hand Held Hole Punch Scrapbooking Punches,25.0,1.0000000000000002,182.0
"（0n Sale)❆ Philsys design lanyard id lace personalized lanyards
",200.0,Philsys design lanyard id lace personalized lanyards,60.0,0.8819171036881966,140.0
"Pen Holders Pencil Holder Metal Mesh Pen Case Desk Organizer
",188.0,Pen Holders Pencil Holder Metal Mesh Pen Case Desk Organizer,30.0,1.0000000000000002,158.0
"Mumu #6001 Korean Fashion Canvas Women School Bag Back Pack Mens Unisex Bags
",371.0,Mumu #6001 Korean Fashion Canvas Women School Bag Back Pack Mens Unisex Bags,85.0,0.9999999999999998,286.0
"Shuta korean Men Black School shoes Office Formal Leather Shoes for Mens cod hf211
",308.0,Shuta korean Men Black School shoes Office Formal Leather Shoes for Mens,199.0,0.9354143466934852,109.0
"✿▣♠ HF. Women's black flat shoes ladies office shoes School shoes cod hf553
",274.0,HF. Women's black flat shoes ladies office shoes School shoes cod hf553,99.0,1.0000000000000002,175.0
"Backpack For Laptop Xiaomi School Office Commuting 15"" Size Waterproof Anti theft Nylon Men Bag
",620.0,"Backpack For Laptop Xiaomi School Office Commuting 15"" Size Waterproof Anti theft Nylon Men Bag",239.0,0.9999999999999998,381.0
"Shuta Black School Shoes For Ladies for women Work flat shoes cod hf520
",264.0,Shuta Black School Shoes For Ladies for women Work flat shoes cod hf520,99.0,1.0,165.0
"OFFICOM Metal Packaging Tape Dispenser Parcel Roller Tape Cutter Dispenser
",10.0,bnesos Stationary School Supplies Sonic Tape Dispenser Large High Quality Tape Cutter 4Colors,118.0,0.48304589153964794,-108.0
"【[Suport Cash On Delivery]】 NM 8 Pocket A4 Expanding File Folder Expanding Envelope School Office Supplies
",346.0,NM 8 Pocket A4 Expanding File Folder Expanding Envelope School Office Supplies,96.0,0.8744746321952064,250.0
"✿▤▥ COD DVX #1150 35 Pcs Gold Steel Thumbtacks Thumb Tacks Push Pin Thumbtack School Office Pins
",119.0,COD DVX #1150 35 Pcs Gold Steel Thumbtacks Thumb Tacks Push Pin Thumbtack School Office Pins,5.0,1.0,114.0
"Max Stapler HD-50R with Remover Original for Office School Supplies and Staple Wire #35-807R
",209.0,Max Stapler HD-50R with Remover Original for Office School Supplies and Staple Wire #35-807R,32.0,1.0,177.0
☸☄ Portable Blackboard Whiteboard For Kids And Adults,598.0,Portable Blackboard Whiteboard For Kids And Adults,345.0,0.9999999999999997,253.0
wooden clipboard with binder clip board,20.0,wooden clipboard with binder clip,28.0,0.9128709291752769,-8.0
hot Plain Socks School Office Mid Cut (Swipe Actual Picture),114.0,Plain Socks School Office Mid Cut (Swipe Actual Picture),14.0,0.9486832980505138,100.0
