Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
Ready Stock Kids Girls Fashion Sandals Princess Shoes Flowers Suede Leather Soft 3 Colors,329.0,Ready Stock Kids Girls Fashion Sandals Princess Shoes Flowers Suede Leather Soft 3 Colors,289.0,0.9999999999999998,40.0
2020 Korean Fashion style loafer shoes sandals flat for ladies wedge’ shoes(add 1 size bigger ),181.0,2020 Korean Fashion style loafer shoes sandals flat for ladies wedge’ shoes(add 1 size bigger ),55.0,1.0,126.0
▼ square neck tops blouse plain semi crop tops Korean fashion slim fit free size SN,157.0,square neck tops blouse plain semi crop tops Korean fashion slim fit free size SN,55.0,1.0,102.0
【cw】for 【luckiss】4 sizes Leggings !!!(good quality leggings) Fashion acid pants yoga/leggings wear,296.0,【luckiss】4 sizes Leggings !!!(good quality leggings) Fashion acid pants yoga/leggings wear,59.0,0.9486832980505142,237.0
【SPOT HOT SALE】 Mumu Mini Korean Fashion Cute Ladies Leather Sling Bag Ins Bags Women #2345,180.0,Mumu Mini Korean Fashion Cute Ladies Leather Sling Bag Ins Bags Women #2345,39.0,0.9013878188659976,141.0
BS Women's Fashion Sandals,105.0,LaLa】 Women Fashion Thick Platform Muffin Sandals,219.0,0.5669467095138407,-114.0
Korean women's fashion white shoes casual low-top rubber shoes,296.0,Korean women's fashion white shoes casual low-top rubber shoes,299.0,1.0000000000000002,-3.0
YZ Fashion Summer Men and Women Three Bars Couple Leisure House Slippers yazi (add 1 size) S008,124.0,YZ Fashion Summer Men and Women Three Bars Couple Leisure House Slippers yazi (add 1 size) S008,64.0,1.0,60.0
Baseball cap)Children's cap)❅▥WILD FASHION Warning Korean Baseball Cap,522.0,WILD FASHION Warning Korean Baseball Cap,59.0,0.8660254037844388,463.0
(shoppe unlimited)Ribbed V Shape Puff Sleeve Knitted Crop Top,147.0,Square neck Knitted Ribbed Crop Top/ Korean Fashion Knitted Top,65.0,0.5345224838248488,82.0
1 PCS KIDS Twisty Petz DIY Elf Unicorn Magic Twisted Bracelet Children Beaded Toy Fashion Accessories,66.0,Twisty Petz DIY Elf Unicorn Magic Twisted Bracelet Children Beaded Toy Fashion Accessories,33.0,0.9309493362512627,33.0
SS Halter Top Korean Fashion Women Tops Slim Fit,225.5,SS Halter Top Korean Fashion Women Tops Slim Fit,55.0,1.0000000000000002,170.5
2021 New fashion trend comfortable converse lazy Unisex shoes,269.0,2021 New fashion trend comfortable converse Unisex shoes,149.0,0.9428090415820634,120.0
New Fashion Ladies outdoor casual slippers (add 1 size)home slippers,128.0,(ADD 1 SIZE ) Fashion ladies casual slippers,69.0,0.8249579113843056,59.0
Cross Earrings Male and Female Personality Hipster Internet Celebrity Gothic Punk Hip Hop Simple Ins Temperament Earrings Ear Studs,85.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
[JAY.CO]Fashion Korean leather POP women's watch#GNL01,131.0,[JAY.CO]Fashion Korean leather POP women's watch#GNL01,48.0,1.0000000000000002,83.0
New Fashion Women's flip flops outdoor leisure Velcro slippers (add 1 size)home slippers,118.0,(ADD 1 SIZE ) Fashion ladies casual slippers,69.0,0.5270462766947299,49.0
Fashion Women's Cotton Turtle Neck Casual Top With Sleeves Crop Top turtleneck inner plain short sleeves korean top,65.0,Square neck Knitted Ribbed Crop Top/ Korean Fashion Knitted Top,65.0,0.5241424183609592,0.0
Best SSPH COD New Style Fashionable Trendy Cotton Plain Korean OOTD Drape Jogger Pants Damit for Women,219.0,SSPH COD New Style Fashionable Trendy Cotton Plain Korean OOTD Drape Jogger Pants Damit for Women,84.0,0.9701425001453322,135.0
Unisex Jacket Pull Over Hoodie G•PLUS,180.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
【COD & Ready Stock】Street Fashion Purple Marvelous Cloud Oversize Smiley Summer Couples Loose Short Sleeve T-Shirts Vintage Shirts,196.0,【COD & Ready Stock】Street Fashion Purple Marvelous Cloud Oversize Smiley Summer Couples Loose Short Sleeve T-Shirts Vintage Shirts,242.0,1.0000000000000002,-46.0
2Pcs Set Fashion Couple Rings Heart-to-heart Butterfly Rings Lovers Vow Rings Wedding Jewelry Accessories,88.0,2Pcs/Set Fashion Couple Rings Heart-to-heart Butterfly Rings Lovers Vow Rings Wedding Jewelry Accessories,29.0,1.0,59.0
HYJa SS Track Short Dual Lining Women Shorts Korean Fashion,224.0,SS Track Short Dual Lining Women Shorts Korean Fashion,69.0,0.9486832980505138,155.0
BUY1 TAKE 1 DOUBLE PLUS SIZE Taslan Shorts For Men| For Women | Unisex | Tailored Shorts | Above Knee-High | XL - 3XL | Taslan Casual | Chino Drifit Quality Korean Fashion Trend Shorts Pambahay | Pangtulog | Pang alis | Panglakad | Sale Items PangMataba,395.01,Taslan Shorts Unisex Sports Fashion Men Jogger,44.0,0.44582257006028225,351.01
QQS 2020 new arrival Korean version of a pedal lazy shoes flat with white shoes,299.0,Korean women's fashion white shoes casual low-top rubber shoes,299.0,0.43301270189221935,0.0
♛㍿™ Plain Jacket No Logo Fashion Casual Design Women Clothing Men Apparel Unisex Outerwear For Gift,446.0,Plain Jacket No Logo Fashion Casual Design Women Clothing Men Apparel Unisex Outerwear For Gift,220.0,0.9999999999999998,226.0
Mumu #CT56 Bangkok Fashion Sexy Kylie CUTOUT top Crop top for Women,214.0,Mumu #CT56 Bangkok Fashion Sexy Kylie CUTOUT top Crop top for Women,57.0,1.0,157.0
Long Pencil Pant Ripped Slim Blue Denim Spring Hole 2021 Fashion Thin Skinny Streetwear Jean for Men Boy Hiphop Trousers Clothes,1005.0,Long Denim Pant Ripped Slim Blue Denim Spring Hole 2021 Fashion Thin Skinny Streetwear Jean Men Hiphop Trousers Clothes,1006.0,0.9047619047619052,-1.0
21 Spring and Summer New Balmain Liu Yuqi Celebrity Same Style Balman Cotton Sleeveless round Neck Vest T-shirt for Women,552.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Fengshanji Original Lolita Chinese Style [Chuanda Tuanzi]-{Intention Collection} Please Add It to Favorites If You like It,215.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
2020 nian Summer New Style Fashion Modified Online Celebrity Cheongsam nian qing kuan Tight Vintage Dress Girly Style Installed,378.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Spring And Summer Shirt Female 2020 New Style Korean Style Versatile Loose Long-sleeve Blouse CHIC on Clothes Fashion Laziness Base Shirt,425.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Caidaifei 2019 Spring And Summer New Style WOMEN'S Blouse Versitile Fashion Casual Shirt Trendy Pure Color  Slim Fit Chiffon Shirt,223.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.45133546692421994,160.0
French Sense of Design Square Collar Tops Long Sleeve Female Vintage Puff Sleeve Waist Hugging Short Pullover CHIC Hong Kong Flavor Shirt Fashion,319.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
2020 New Style Early Autumn Western Style WOMEN'S Dress V-neck Fashion Chiffon White Shirt Long Sleeve Online Celebrity Sense of Design Young on the Clothes,536.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Korean Chic Fashionable round Neck Personalized Pleated Puff Sleeve Cinched Waist Slim-Fit Slimming Cotton Large Swing Dress for Women,657.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Fresh Floral Short-Sleeved Shirt for Women 2021 Summer New French Style Retro Peter Pan Collar Puff Sleeve Loose Top,336.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Caidaifei 2018 Spring And Summer New Style Korean-style WOMEN'S Wear Slimming Shirt Stripe Short Sleeve Shirt Leisure Trend Chiffon Shirt,235.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.4645820984297111,172.0
Autumn Clothing women 2018 New Style Korean Style Fashion Sexy Square Collar Chiffon Long Sleeve Slim Fit Slit Mid-length dress for women Fashion,825.0,2021 Korean New Style Sunglasses Flat Frame Tinted Color For Women Men Fashion Eyeglasses,25.0,0.43915503282684,800.0
Exposed Shoulder Chiffon Shirt women Short Sleeved 2020 Summer New Style Korean Style Loose Western Style Shirt Flounced Off-shoulder Tops Fashion,317.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Spring Summer Fashion Europe And America Hot Selling New Style Large Size Dress Korean-style Slim Fit Lace Base Shirt Women's Thickness,322.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Palace Style Vintage Pleated Square Collar Velvet Dress Female High-waisted Slim Fit Slimming Gauze Puff Sleeve Black Dress Fashion,555.0,korean floral dress fashion 3/4 sleeve maxi dress,129.0,0.4264014327112208,426.0
Hong Kong Style Ins Long-sleeved T-shirt Female Early Autumn Korean Style Students Loose Laziness Wind Smell Hip Hop Short Chic Tops Fashion,239.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
2020 nian Summer New Style Skirt nian qing kuan Elegant Retro Cool Modified Mandarin Collar Dress Girls' Clothing,383.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Summer plaid suit wide-leg jumpsuit women clothes new,1128.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Korean Chic French Style Lightly Mature Square Collar Heavy Industry Feather Tassel Slim High Waist Mid-Length Sheath Dress for Women,587.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Vintage Court Style 2020 New Autumn Puff Sleeve Collar off-Shoulder Tube Top Sexy Skinny Hip Dress,614.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
3k store heart bangles bracelet fashion accesories,420.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
3k store silver gold plated fashion accesories bracelet,280.0,SEIKO Stainless GOLD Silver Fashion jewelry Bracelet WATCH for men's women's,75.0,0.42640143271122083,205.0
Fashion Freebies! Free shipping!!! Pearl Hair clip - hair accesories,125.0,EMS fashion Korean hair clamp clip for women Pearl catch clip temperament versatile hair accessories,28.0,0.5533715710928597,97.0
3k store channel bangles bracelet fashion accesories,220.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
3k store necklace anchor pendant plated gold fashion accesories,450.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
"AFFNIQCHIC Hiri,Korean Fashion Hair Clips Accesories",80.0,Korean Fashion Bows Hair Clips Hair Accessories,5.0,0.6299407883487119,75.0
"AFFNIQCHIC Helen,Korean Fashion Hair Clips Accesories",80.0,Korean Fashion Bows Hair Clips Hair Accessories,5.0,0.6299407883487119,75.0
Best Square Hair Claw-Clamp Fashion Hair Accesories,158.0,Korean Fashion Bows Hair Clips Hair Accessories,5.0,0.5270462766947299,153.0
Fashionable Alphabet lnitial Necklace stainless Accesoris jewelry,197.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
vintage necklace on neck Gold chain Women's jewelry layered accesories for girls clothing aesthetic Gifts fashion Pendant 2021,311.0,2021 Fashion 12 Constellation Pendent Necklace for Women Jewelry,17.0,0.4714045207910317,294.0
2021 New Hot Luxury Designer Brand Necklace Set Pearl Jewelry Gift For Women Wedding Pendant Charm Fashion Accesories Neck Chain,2180.0,2021 Fashion 12 Constellation Pendent Necklace for Women Jewelry,17.0,0.44721359549995787,2163.0
hot YZ Fashion Summer Men and Women Three Bars Couple Leisure House Slippers yazi (add 1 size) S008,206.0,YZ Fashion Summer Men and Women Three Bars Couple Leisure House Slippers yazi (add 1 size) S008,64.0,0.9701425001453322,142.0
Fashion Women's Cotton Turtle Neck Casual Top With Sleeves Crop Top turtleneck inner plain short sleeves korean top,65.0,Square neck Knitted Ribbed Crop Top/ Korean Fashion Knitted Top,65.0,0.5241424183609592,0.0
SS Korean Fashion Garter Crop Top Slim Fit Women Tops,155.0,SS Korean Fashion Garter Crop Top Slim Fit Women Tops,57.0,0.9999999999999999,98.0
SPOT HOT SALE] Jvf Korean Fashion Loafer Sandals For Ladies #599-1,250.0,Jvf Korean Fashion Loafer Sandals For Ladies #599-1,55.0,0.8528028654224417,195.0
RM women's turtle neck knitted blouse,169.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
New fashion short sleeve blouse for Women T-shirt,49.0,Fashion T Shirt for Women T-Shirt Plus Size Shirt Long T-Shirt Oversize tshirt Casual Tops minidess,63.0,0.4762896722078402,-14.0
Off Shoulder Crop Top,69.0,Off Shoulder Crop Top Korean Fashion Long Sleeves Sexy TO,85.0,0.6324555320336759,-16.0
12.12 SALE! COD KOREAN FASHION DESIGN MALL PULL OUTS ASSORTED CROPTOP BLOUSES PURE COTTON (ASSORTED DESIGNS ONLY) PROMO!!!,25.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Korean Hair Accessories Children's Hairpin Super Cute Child's Headwear Anti-Skating Headband Kids Princess Flower Headdress for Girls,51.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
5002 Fashion Denim Dolphin Short for Ladies,170.0,Fashion Taslan Short For Men,57.0,0.50709255283711,113.0
Blue Corner Kids Polo Shirt Plain White Unisex Comfort Wear with Collar,130.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
womens berret hat with visor faux,85.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Korean 3 Bar Baseball Cap Unisex Cotton,79.0,WILD FASHION Warning Korean Baseball Cap,59.0,0.5000000000000001,20.0
Fashion Lady Anklet 18K Gold Tassel Two-layer Leaf Pearl Anklet European Retro Summer Beach Simple Double-layer Tassel Leaf Anklet Unisex Jewelry Accessories,235.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
Zihang Jewelry 14k rosegold plated heart necklace for women,39.0,2021 Fashion 12 Constellation Pendent Necklace for Women Jewelry,17.0,0.4444444444444444,22.0
Cross Tree Leaf Multi Style Necklace Bird Double Layer Necklace,22.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
☾ 【LaLa】 Women Fashion Thick Platform Muffin Sandals,444.0,LaLa】 Women Fashion Thick Platform Muffin Sandals,219.0,0.9999999999999997,225.0
Mumu #CT56 Bangkok Fashion Sexy Kylie CUTOUT top Crop top for Women,214.0,Mumu #CT56 Bangkok Fashion Sexy Kylie CUTOUT top Crop top for Women,57.0,1.0,157.0
